vendor_name,contact_person,contact_phone,gst_number,email,address,city,active_status
Tech Solutions,Rajesh Kumar,9876543210,29AAAPL1234C1ZV,contact@techsolutions.in,123 MG Road Bangalore,Bangalore,Active
InfoTech Services,Sunita Sharma,9123456789,27BBBCD5678E1ZX,sunita@infotech.com,456 Park Street Kolkata,Kolkata,Active
Delta Solutions,Rajiv Kumar,9988776655,29EEEFF4567H8XY,contact@deltasolutions.in,202 MG Road Mumbai,Mumbai,Active
Prime Solutions,Suresh Kumar,9876543210,29IIIKL9101L2AB,suresh@primesolutions.in,606 MG Road Pune,Pune,Active
TechnoWare,Sunita Sharma,9876543210,27JJJMM1234M3YZ,sunita@technoware.com,707 Park Street Kolkata,Kolkata,Inactive
Zeta Industries,Rakesh Kumar,9876543210,29KKKNN4567N4XY,rakesh@zetainc.in,808 MG Road Chennai,Chennai,Active
Innovatech,Rahul Sharma,9876543210,29LLLPP1234O5ZX,rahul@innovatech.com,909 Brigade Road Bangalore,Bangalore,Active
NextGen Solutions,Anjali Singh,9876543210,27MMMQQ5678P6AB,anjali@nextgen.com,1010 MG Road Mumbai,Mumbai,Inactive
Quantum Corp,Rajesh Kumar,9876543210,29NNNRR9101Q7YZ,rajesh@quantumcorp.in,1111 Church Street Hyderabad,Hyderabad,Active
Vector Technologies,Pooja Sharma,9876543210,22OOOSS1234R8ZX,pooja@vectortech.com,1212 MG Road Pune,Pune,Active
TechPros,Ramesh Kumar,9876543210,29PPPTT5678S9AB,ramesh@techpros.in,1313 Park Avenue Chennai,Chennai,Inactive
Alpha Solutions,Sunita Devi,9876543210,27QQQUU9101T0YZ,sunita@alphasolutions.com,1414 MG Road Bangalore,Bangalore,Active
Beta Enterprises,Rajiv Sharma,9876543210,29RRRVV1234U1ZX,rajiv@betaenterprises.in,1515 MG Road Mumbai,Mumbai,Active
Delta Tech,Anita Kumar,9876543210,22SSSWW5678V2AB,anita@deltatech.com,1616 Park Street Kolkata,Kolkata,Inactive
Echo Innovations,Sunil Singh,9876543210,29TTTXX9101W3YZ,sunil@echoinnovations.in,1717 Brigade Road Bangalore,Bangalore,Active
Falcon Solutions,Rakesh Patel,9876543210,27UUUYY1234X4ZX,rakesh@falconsolutions.com,1818 MG Road Chennai,Chennai,Active
Gamma Corp,Rahul Kumar,9876543210,29VVVZZ5678Y5AB,rahul@gammacorp.in,1919 MG Road Hyderabad,Hyderabad,Inactive
OmniTech,Anjali Devi,9876543210,22WWWAA9101Z6YZ,anjali@omnitech.com,2020 MG Road Pune,Pune,Active
Prime Enterprises,Rajesh Singh,9876543210,29XXXBB1234A7ZX,rajesh@primeenterprises.in,2121 Park Avenue Chennai,Chennai,Active
Quantum Solutions,Sunita Kumar,9876543210,27YYYCC5678B8AB,sunita@quantumsolutions.com,2222 MG Road Bangalore,Bangalore,Inactive
Vector Innovations,Rajiv Patel,9876543210,29ZZZDD9101C9YZ,rajiv@vectorinnovations.in,2323 MG Road Mumbai,Mumbai,Active
Zeta Technologies,Pooja Sharma,9876543210,22AAADD1234D0ZX,pooja@zetatechnologies.com,2424 Church Street Hyderabad,Hyderabad,Active
Innovatech,Ramesh Kumar,9876543210,29BBBEE5678E1AB,ramesh@innovatech.in,2525 MG Road Pune,Pune,Inactive
NextGen Solutions,Sunil Singh,9876543210,27CCCFF9101F2YZ,sunil@nextgen.com,2626 Park Avenue Chennai,Chennai,Active
Alpha Enterprises,Rahul Sharma,9876543210,29DDDGG1234G3ZX,rahul@alphaenterprises.in,2727 MG Road Bangalore,Bangalore,Active
Beta Technologies,Anjali Kumar,9876543210,22EEEGG5678H4AB,anjali@betatech.com,2828 MG Road Mumbai,Mumbai,Inactive
Delta Innovations,Rajesh Singh,9876543210,29FFFHH9101I5YZ,rajesh@deltainnovations.in,2929 Park Street Kolkata,Kolkata,Active
Echo Enterprises,Pooja Patel,9876543210,27GGGII1234J6ZX,pooja@echoenterprises.com,3030 MG Road Chennai,Chennai,Active
Falcon Technologies,Sunita Kumar,9876543210,29HHHJJ5678K7AB,sunita@falcontech.in,3131 Brigade Road Bangalore,Bangalore,Inactive
Gamma Solutions,Ramesh Singh,9876543210,22IIIJJ9101L8YZ,ramesh@gammasolutions.com,3232 MG Road Hyderabad,Hyderabad,Active
Omni Enterprises,Rajiv Patel,9876543210,29JJJKK1234M9ZX,rajiv@omni.com,3333 MG Road Pune,Pune,Active
Prime Innovations,Anita Sharma,9876543210,27KKKLL5678N0AB,anita@primeinnovations.in,3434 Park Avenue Chennai,Chennai,Inactive
Quantum Enterprises,Rakesh Kumar,9876543210,29LLLMM9101O1YZ,rakesh@quantumenterprises.com,3535 MG Road Bangalore,Bangalore,Active
Vector Solutions,Sunil Singh,9876543210,22MMMNN1234P2ZX,sunil@vectorsolutions.in,3636 MG Road Mumbai,Mumbai,Active
Zeta Innovations,Rahul Sharma,9876543210,29NNNOO5678Q3AB,rahul@zetainnovations.com,3737 Church Street Hyderabad,Hyderabad,Inactive
Innovatech,Pooja Singh,9876543210,27OOOPP9101R4YZ,pooja@innovatech.com,3838 MG Road Pune,Pune,Active
NextGen Enterprises,Rajesh Kumar,9876543210,29PPPQQ1234S5ZX,rajesh@nextgenenterprises.in,3939 Park Avenue Chennai,Chennai,Active
Alpha Solutions,Sunita Patel,9876543210,22QQQRR5678T6AB,sunita@alphasolutions.com,4040 MG Road Bangalore,Bangalore,Inactive
